Word Length, Fractional Bits, Prediction phase, avg Prediction accuracy, min Prediction accuracy, avg w1, avg b1, avg w2, avg b2, avg w2, avg b3, min w1, min b1, min w2, min b2, min w2, min b3
22, 16, 0.602, 0.746967, -0.0942174, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
24, 4, 0.64, 0.674129, -0.728671, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
24, 5, 0.896, 0.99284, 0.13848, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
24, 6, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
24, 7, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
24, 8, 0.9, 1, 0.999999, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
24, 9, 0.9, 1, 0.999996, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
24, 10, 0.9, 0.999999, 0.999982, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
24, 11, 0.9, 0.999991, 0.999926, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
24, 12, 0.898, 0.999954, 0.999727, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
24, 13, 0.9, 0.999816, 0.998935, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
24, 14, 0.9, 0.999275, 0.996137, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
24, 15, 0.888, 0.997191, 0.984715, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
24, 16, 0.876, 0.990338, 0.929326, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
24, 17, 0.814, 0.964219, 0.737751, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
24, 18, 0.602, 0.746967, -0.0942174, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 4, 0.64, 0.674142, -0.728649, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 5, 0.896, 0.99284, 0.138562, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 6, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 7, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 8, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 9, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 10, 0.9, 1, 0.999999, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 11, 0.9, 1, 0.999996, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 12, 0.9, 0.999999, 0.999982, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 13, 0.9, 0.999991, 0.999926, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 14, 0.898, 0.999954, 0.999727, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 15, 0.9, 0.999816, 0.998935, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 16, 0.9, 0.999275, 0.996137, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 17, 0.888, 0.997191, 0.984715, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 18, 0.876, 0.990338, 0.929326, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
26, 19, 0.814, 0.964219, 0.737751, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 4, 0.64, 0.674145, -0.728643, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 5, 0.896, 0.992841, 0.138583, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 6, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 7, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 8, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 9, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 10, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 11, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 12, 0.9, 1, 0.999999, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 13, 0.9, 1, 0.999996, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 14, 0.9, 0.999999, 0.999982, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 15, 0.9, 0.999991, 0.999926, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 16, 0.898, 0.999954, 0.999727, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 17, 0.9, 0.999816, 0.998935, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 18, 0.9, 0.999275, 0.996137, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 19, 0.888, 0.997191, 0.984715, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 20, 0.876, 0.990338, 0.929326, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
28, 21, 0.814, 0.964219, 0.737751, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 4, 0.64, 0.674146, -0.728642, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 5, 0.896, 0.992841, 0.138588, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 6, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 7, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 8, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 9, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 10, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 11, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 12, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 13, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 14, 0.9, 1, 0.999999, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 15, 0.9, 1, 0.999996, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 16, 0.9, 0.999999, 0.999982, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 17, 0.9, 0.999991, 0.999926, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 18, 0.898, 0.999954, 0.999727, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 19, 0.9, 0.999816, 0.998935, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 20, 0.9, 0.999275, 0.996137, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 21, 0.888, 0.997191, 0.984715, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
30, 22, 0.876, 0.990338, 0.929326, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 4, 0.64, 0.674146, -0.728642, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 5, 0.896, 0.992841, 0.138589, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 6, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 7, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 8, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 9, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 10, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 11, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 12, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 13, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 14, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
